email, authentication_string
alex.diaconu02@e-uvt.ro,123
mihai.diaconu02@e-uvt.ro,123
nume.fain98@e-uvt.ro, 123
marius.popescu01@e-uvt.ro, 123
andreea.esca96@e-uvt.ro,123
andreea.esca96@e-uvt.ro,123
andreea.esca96@e-uvt.ro,123
mihai.diaconu02@e-uvt.ro,123
marius.popescu01@e-uvt.ro,123
nume.fain98@e-uvt.ro,123
alex.diaconu02@e-uvt.ro,123
adi.diaconu02@e-uvt.ro,123
sadfsdfsdfhai.diaconu02@e-uvt.ro,123
mihai.dsdfiaconu02@e-uvt.ro,123
mihai.diadfgdfgconu02@e-uvt.ro,123
daniel.diaconu02@e-uvt.ro,123
mai.diaconu02@e-uvt.ro,123
